month,month_num,day,karawatha_19,karawatha_17
Aug,8,19,0,0
Aug,8,20,0,0
Aug,8,21,0,0
Aug,8,22,0,0.4
Aug,8,23,0,0
Aug,8,24,0,0.2
Aug,8,25,0,9.8
Aug,8,26,0,0
Aug,8,27,0,0
Aug,8,28,0,0
Aug,8,29,0,0
Aug,8,30,0,0
Aug,8,31,0,0
Sep,9,1,0,0
Sep,9,2,0,0
Sep,9,3,0,0
Sep,9,4,0,0
Sep,9,5,0,0
Sep,9,6,0,0
Sep,9,7,0,0
Sep,9,8,0,0
Sep,9,9,0,0
Sep,9,10,0,0
Sep,9,11,0,0
Sep,9,12,0,0
Sep,9,13,0,0
Sep,9,14,0,0
Sep,9,15,0,0
Sep,9,16,0,0
Sep,9,17,0,0
Sep,9,18,4,0
Sep,9,19,0,0
Sep,9,20,0,0
Sep,9,21,1,0
Sep,9,22,0,0
Sep,9,23,0,2
Sep,9,24,0,0
Sep,9,25,0,0
Sep,9,26,0,0
Sep,9,27,0,0
Sep,9,28,6,0
Sep,9,29,0,0
Sep,9,30,0,0
Oct,10,1,0,0
Oct,10,2,1,9.4
Oct,10,3,0,35.6
Oct,10,4,0,0.8
Oct,10,5,0,0
Oct,10,6,0,0
Oct,10,7,0,14.6
Oct,10,8,0,0
Oct,10,9,0,0.8
Oct,10,10,0,0
Oct,10,11,0,0
Oct,10,12,16,0
Oct,10,13,1,2.6
Oct,10,14,0,1.8
Oct,10,15,0,37
Oct,10,16,0,59
Oct,10,17,0,2.2
Oct,10,18,8,10.6
Oct,10,19,1,1.4
Oct,10,20,6,0
Oct,10,21,0,4.2
Oct,10,22,0,7
Oct,10,23,0,1.6
Oct,10,24,0,12.6
Oct,10,25,0,0
Oct,10,26,0,0
Oct,10,27,0,1
Oct,10,28,0,0
Oct,10,29,0,0
Oct,10,30,0,1.2
Oct,10,31,0,0
Nov,11,1,6,0
Nov,11,2,26,0
Nov,11,3,0,0
Nov,11,4,0,0
Nov,11,5,0,0.2
Nov,11,6,0,0
Nov,11,7,0,11
Nov,11,8,0,2.6
Nov,11,9,0,3.4
Nov,11,10,0,0.2
Nov,11,11,0,2.2
Nov,11,12,0,2.2
Nov,11,13,0,0
Nov,11,14,0,0
Nov,11,15,0,0
Nov,11,16,0,1.6
Nov,11,17,0,0
Nov,11,18,0,5
Nov,11,19,0,29.4
Nov,11,20,0,16.2
Nov,11,21,0,0.2
Nov,11,22,0,3.2
Nov,11,23,0,0
Nov,11,24,0,0
Nov,11,25,0,0
Nov,11,26,0,0
Nov,11,27,0,0
Nov,11,28,0,0
Nov,11,29,0,2.4
Nov,11,30,0,8.2
Dec,12,1,0,5.6
Dec,12,2,4,0
Dec,12,3,0,0.4
Dec,12,4,0,1.8
Dec,12,5,0,51
Dec,12,6,0,0
Dec,12,7,0,0
Dec,12,8,0,0
Dec,12,9,0,1.4
Dec,12,10,0,10
Dec,12,11,0,0
Dec,12,12,49,0
Dec,12,13,0,0
Dec,12,14,19,0
Dec,12,15,0,0
Dec,12,16,0,3
Dec,12,17,0,0
Dec,12,18,0,0
Dec,12,19,0,0
Dec,12,20,0,0
Dec,12,21,0,0
Dec,12,22,0,2.2
Dec,12,23,0,0.8
Dec,12,24,0,0
Dec,12,25,26,0
Dec,12,26,24,35.2
Dec,12,27,0,3.6
Dec,12,28,0,0
Dec,12,29,0,2.4
Dec,12,30,0,0
Dec,12,31,2,0
